"","plot","grid_number","date","rich","plot_grid","treatment","complexity","plot_date","days_since_outplanting"
"71","HN",5,"11-Jun-19",0,"HN - 5","70%","High","HN - 11-Jun-19",5
"72","HN",5,"13-Jun-19",0,"HN - 5","70%","High","HN - 13-Jun-19",7
"73","HN",5,"15-Jul-19",1,"HN - 5","70%","High","HN - 15-Jul-19",33
"74","HN",5,"15-Jun-19",0,"HN - 5","70%","High","HN - 15-Jun-19",9
"75","HN",5,"20-Jul-19",0,"HN - 5","70%","High","HN - 20-Jul-19",37
"76","HN",5,"20-Jun-19",3,"HN - 5","70%","High","HN - 20-Jun-19",11
"77","HN",5,"25-Jul-19",3,"HN - 5","70%","High","HN - 25-Jul-19",43
"78","HN",5,"25-Jun-19",1,"HN - 5","70%","High","HN - 25-Jun-19",13
"79","HN",5,"28-Jul-19",1,"HN - 5","70%","High","HN - 28-Jul-19",48
"80","HN",5,"28-Jun-19",0,"HN - 5","70%","High","HN - 28-Jun-19",18
"81","HN",6,"02-Jul-19",1,"HN - 6","30%","High","HN - 02-Jul-19",23
"82","HN",6,"05-Jul-19",2,"HN - 6","30%","High","HN - 05-Jul-19",26
"83","HN",6,"05-Jun-19",0,"HN - 6","30%","High","HN - 05-Jun-19",1
"84","HN",6,"06-Jun-19",3,"HN - 6","30%","High","HN - 06-Jun-19",2
"85","HN",6,"07-Jun-19",0,"HN - 6","30%","High","HN - 07-Jun-19",3
"86","HN",6,"09-Jul-19",1,"HN - 6","30%","High","HN - 09-Jul-19",30
"87","HN",6,"11-Jun-19",1,"HN - 6","30%","High","HN - 11-Jun-19",5
"88","HN",6,"13-Jun-19",4,"HN - 6","30%","High","HN - 13-Jun-19",7
"89","HN",6,"15-Jul-19",1,"HN - 6","30%","High","HN - 15-Jul-19",33
"90","HN",6,"15-Jun-19",2,"HN - 6","30%","High","HN - 15-Jun-19",9
"91","HN",6,"20-Jul-19",2,"HN - 6","30%","High","HN - 20-Jul-19",37
"92","HN",6,"20-Jun-19",1,"HN - 6","30%","High","HN - 20-Jun-19",11
"93","HN",6,"25-Jul-19",4,"HN - 6","30%","High","HN - 25-Jul-19",43
"94","HN",6,"25-Jun-19",2,"HN - 6","30%","High","HN - 25-Jun-19",13
"95","HN",6,"28-Jul-19",1,"HN - 6","30%","High","HN - 28-Jul-19",48
"96","HN",6,"28-Jun-19",1,"HN - 6","30%","High","HN - 28-Jun-19",18
"97","HN",7,"02-Jul-19",0,"HN - 7","100%","High","HN - 02-Jul-19",23
"98","HN",7,"05-Jul-19",1,"HN - 7","100%","High","HN - 05-Jul-19",26
"99","HN",7,"05-Jun-19",0,"HN - 7","100%","High","HN - 05-Jun-19",1
"100","HN",7,"06-Jun-19",2,"HN - 7","100%","High","HN - 06-Jun-19",2
"101","HN",7,"07-Jun-19",2,"HN - 7","100%","High","HN - 07-Jun-19",3
"102","HN",7,"09-Jul-19",1,"HN - 7","100%","High","HN - 09-Jul-19",30
"103","HN",7,"11-Jun-19",0,"HN - 7","100%","High","HN - 11-Jun-19",5
"104","HN",7,"13-Jun-19",1,"HN - 7","100%","High","HN - 13-Jun-19",7
"105","HN",7,"15-Jul-19",1,"HN - 7","100%","High","HN - 15-Jul-19",33
"106","HN",7,"15-Jun-19",0,"HN - 7","100%","High","HN - 15-Jun-19",9
"107","HN",7,"20-Jul-19",0,"HN - 7","100%","High","HN - 20-Jul-19",37
"108","HN",7,"20-Jun-19",1,"HN - 7","100%","High","HN - 20-Jun-19",11
"109","HN",7,"25-Jul-19",2,"HN - 7","100%","High","HN - 25-Jul-19",43
"110","HN",7,"25-Jun-19",1,"HN - 7","100%","High","HN - 25-Jun-19",13
"111","HN",7,"28-Jul-19",0,"HN - 7","100%","High","HN - 28-Jul-19",48
"112","HN",7,"28-Jun-19",2,"HN - 7","100%","High","HN - 28-Jun-19",18
"113","HN",8,"02-Jul-19",1,"HN - 8","50%","High","HN - 02-Jul-19",23
"114","HN",8,"05-Jul-19",2,"HN - 8","50%","High","HN - 05-Jul-19",26
"115","HN",8,"05-Jun-19",0,"HN - 8","50%","High","HN - 05-Jun-19",1
"116","HN",8,"06-Jun-19",1,"HN - 8","50%","High","HN - 06-Jun-19",2
"117","HN",8,"07-Jun-19",3,"HN - 8","50%","High","HN - 07-Jun-19",3
"118","HN",8,"09-Jul-19",2,"HN - 8","50%","High","HN - 09-Jul-19",30
"119","HN",8,"11-Jun-19",1,"HN - 8","50%","High","HN - 11-Jun-19",5
"120","HN",8,"13-Jun-19",3,"HN - 8","50%","High","HN - 13-Jun-19",7
"121","HN",8,"15-Jul-19",2,"HN - 8","50%","High","HN - 15-Jul-19",33
"122","HN",8,"15-Jun-19",3,"HN - 8","50%","High","HN - 15-Jun-19",9
"123","HN",8,"20-Jul-19",1,"HN - 8","50%","High","HN - 20-Jul-19",37
"124","HN",8,"20-Jun-19",3,"HN - 8","50%","High","HN - 20-Jun-19",11
"125","HN",8,"25-Jul-19",2,"HN - 8","50%","High","HN - 25-Jul-19",43
"126","HN",8,"25-Jun-19",2,"HN - 8","50%","High","HN - 25-Jun-19",13
"127","HN",8,"28-Jul-19",3,"HN - 8","50%","High","HN - 28-Jul-19",48
"128","HN",8,"28-Jun-19",2,"HN - 8","50%","High","HN - 28-Jun-19",18
"129","HN",9,"02-Jul-19",0,"HN - 9","control","High","HN - 02-Jul-19",23
"130","HN",9,"05-Jul-19",0,"HN - 9","control","High","HN - 05-Jul-19",26
"131","HN",9,"05-Jun-19",1,"HN - 9","control","High","HN - 05-Jun-19",1
"132","HN",9,"06-Jun-19",3,"HN - 9","control","High","HN - 06-Jun-19",2
"133","HN",9,"07-Jun-19",1,"HN - 9","control","High","HN - 07-Jun-19",3
"134","HN",9,"09-Jul-19",1,"HN - 9","control","High","HN - 09-Jul-19",30
"135","HN",9,"11-Jun-19",0,"HN - 9","control","High","HN - 11-Jun-19",5
"136","HN",9,"13-Jun-19",0,"HN - 9","control","High","HN - 13-Jun-19",7
"137","HN",9,"15-Jul-19",0,"HN - 9","control","High","HN - 15-Jul-19",33
"138","HN",9,"15-Jun-19",3,"HN - 9","control","High","HN - 15-Jun-19",9
"139","HN",9,"20-Jul-19",1,"HN - 9","control","High","HN - 20-Jul-19",37
"140","HN",9,"20-Jun-19",1,"HN - 9","control","High","HN - 20-Jun-19",11
"141","HN",9,"25-Jul-19",2,"HN - 9","control","High","HN - 25-Jul-19",43
"142","HN",9,"25-Jun-19",0,"HN - 9","control","High","HN - 25-Jun-19",13
"143","HN",9,"28-Jul-19",0,"HN - 9","control","High","HN - 28-Jul-19",48
"144","HN",9,"28-Jun-19",1,"HN - 9","control","High","HN - 28-Jun-19",18
"145","HN",10,"02-Jul-19",1,"HN - 10","control","High","HN - 02-Jul-19",23
"146","HN",10,"05-Jul-19",1,"HN - 10","control","High","HN - 05-Jul-19",26
"147","HN",10,"05-Jun-19",0,"HN - 10","control","High","HN - 05-Jun-19",1
"148","HN",10,"06-Jun-19",3,"HN - 10","control","High","HN - 06-Jun-19",2
"149","HN",10,"07-Jun-19",2,"HN - 10","control","High","HN - 07-Jun-19",3
"150","HN",10,"09-Jul-19",2,"HN - 10","control","High","HN - 09-Jul-19",30
"151","HN",10,"11-Jun-19",1,"HN - 10","control","High","HN - 11-Jun-19",5
"152","HN",10,"13-Jun-19",0,"HN - 10","control","High","HN - 13-Jun-19",7
"153","HN",10,"15-Jul-19",0,"HN - 10","control","High","HN - 15-Jul-19",33
"154","HN",10,"15-Jun-19",1,"HN - 10","control","High","HN - 15-Jun-19",9
"155","HN",10,"20-Jul-19",2,"HN - 10","control","High","HN - 20-Jul-19",37
"156","HN",10,"20-Jun-19",2,"HN - 10","control","High","HN - 20-Jun-19",11
"157","HN",10,"25-Jul-19",2,"HN - 10","control","High","HN - 25-Jul-19",43
"158","HN",10,"25-Jun-19",0,"HN - 10","control","High","HN - 25-Jun-19",13
"159","HN",10,"28-Jul-19",1,"HN - 10","control","High","HN - 28-Jul-19",48
"160","HN",10,"28-Jun-19",0,"HN - 10","control","High","HN - 28-Jun-19",18
"161","HN",11,"02-Jul-19",1,"HN - 11","30%","High","HN - 02-Jul-19",23
"162","HN",11,"05-Jul-19",1,"HN - 11","30%","High","HN - 05-Jul-19",26
"163","HN",11,"05-Jun-19",0,"HN - 11","30%","High","HN - 05-Jun-19",1
"164","HN",11,"06-Jun-19",0,"HN - 11","30%","High","HN - 06-Jun-19",2
"165","HN",11,"07-Jun-19",1,"HN - 11","30%","High","HN - 07-Jun-19",3
"166","HN",11,"09-Jul-19",2,"HN - 11","30%","High","HN - 09-Jul-19",30
"167","HN",11,"11-Jun-19",1,"HN - 11","30%","High","HN - 11-Jun-19",5
"168","HN",11,"13-Jun-19",1,"HN - 11","30%","High","HN - 13-Jun-19",7
"169","HN",11,"15-Jul-19",0,"HN - 11","30%","High","HN - 15-Jul-19",33
"170","HN",11,"15-Jun-19",1,"HN - 11","30%","High","HN - 15-Jun-19",9
"171","HN",11,"20-Jul-19",2,"HN - 11","30%","High","HN - 20-Jul-19",37
"172","HN",11,"20-Jun-19",0,"HN - 11","30%","High","HN - 20-Jun-19",11
"173","HN",11,"25-Jul-19",1,"HN - 11","30%","High","HN - 25-Jul-19",43
"174","HN",11,"25-Jun-19",0,"HN - 11","30%","High","HN - 25-Jun-19",13
"175","HN",11,"28-Jul-19",0,"HN - 11","30%","High","HN - 28-Jul-19",48
"176","HN",11,"28-Jun-19",1,"HN - 11","30%","High","HN - 28-Jun-19",18
"177","HN",12,"02-Jul-19",1,"HN - 12","70%","High","HN - 02-Jul-19",23
"178","HN",12,"05-Jul-19",1,"HN - 12","70%","High","HN - 05-Jul-19",26
"179","HN",12,"05-Jun-19",1,"HN - 12","70%","High","HN - 05-Jun-19",1
