plot,grid_number,date,abundance,plot_grid,treatment,complexity,plot_date,days_since_outplanting
HN,5,28-Jun-19,6,HN - 5,70%,High,HN - 28-Jun-19,18
HN,6,02-Jul-19,3,HN - 6,30%,High,HN - 02-Jul-19,23
HN,6,05-Jul-19,0,HN - 6,30%,High,HN - 05-Jul-19,26
HN,6,05-Jun-19,0,HN - 6,30%,High,HN - 05-Jun-19,1
HN,6,06-Jun-19,2,HN - 6,30%,High,HN - 06-Jun-19,2
HN,6,07-Jun-19,0,HN - 6,30%,High,HN - 07-Jun-19,3
HN,6,09-Jul-19,0,HN - 6,30%,High,HN - 09-Jul-19,30
HN,6,11-Jun-19,0,HN - 6,30%,High,HN - 11-Jun-19,5
HN,6,13-Jun-19,4,HN - 6,30%,High,HN - 13-Jun-19,7
HN,6,15-Jul-19,6,HN - 6,30%,High,HN - 15-Jul-19,33
HN,6,15-Jun-19,3,HN - 6,30%,High,HN - 15-Jun-19,9
HN,6,20-Jul-19,2,HN - 6,30%,High,HN - 20-Jul-19,37
HN,6,20-Jun-19,3,HN - 6,30%,High,HN - 20-Jun-19,11
HN,6,25-Jul-19,4,HN - 6,30%,High,HN - 25-Jul-19,43
HN,6,25-Jun-19,1,HN - 6,30%,High,HN - 25-Jun-19,13
HN,6,28-Jul-19,0,HN - 6,30%,High,HN - 28-Jul-19,48
HN,6,28-Jun-19,1,HN - 6,30%,High,HN - 28-Jun-19,18
HN,7,02-Jul-19,1,HN - 7,100%,High,HN - 02-Jul-19,23
HN,7,05-Jul-19,0,HN - 7,100%,High,HN - 05-Jul-19,26
HN,7,05-Jun-19,0,HN - 7,100%,High,HN - 05-Jun-19,1
HN,7,06-Jun-19,3,HN - 7,100%,High,HN - 06-Jun-19,2
HN,7,07-Jun-19,4,HN - 7,100%,High,HN - 07-Jun-19,3
HN,7,09-Jul-19,1,HN - 7,100%,High,HN - 09-Jul-19,30
HN,7,11-Jun-19,0,HN - 7,100%,High,HN - 11-Jun-19,5
HN,7,13-Jun-19,0,HN - 7,100%,High,HN - 13-Jun-19,7
HN,7,15-Jul-19,0,HN - 7,100%,High,HN - 15-Jul-19,33
HN,7,15-Jun-19,0,HN - 7,100%,High,HN - 15-Jun-19,9
HN,7,20-Jul-19,14,HN - 7,100%,High,HN - 20-Jul-19,37
HN,7,20-Jun-19,3,HN - 7,100%,High,HN - 20-Jun-19,11
HN,7,25-Jul-19,0,HN - 7,100%,High,HN - 25-Jul-19,43
HN,7,25-Jun-19,0,HN - 7,100%,High,HN - 25-Jun-19,13
HN,7,28-Jul-19,1,HN - 7,100%,High,HN - 28-Jul-19,48
HN,7,28-Jun-19,0,HN - 7,100%,High,HN - 28-Jun-19,18
HN,8,02-Jul-19,1,HN - 8,50%,High,HN - 02-Jul-19,23
HN,8,05-Jul-19,0,HN - 8,50%,High,HN - 05-Jul-19,26
HN,8,05-Jun-19,0,HN - 8,50%,High,HN - 05-Jun-19,1
HN,8,06-Jun-19,0,HN - 8,50%,High,HN - 06-Jun-19,2
HN,8,07-Jun-19,6,HN - 8,50%,High,HN - 07-Jun-19,3
HN,8,09-Jul-19,0,HN - 8,50%,High,HN - 09-Jul-19,30
HN,8,11-Jun-19,0,HN - 8,50%,High,HN - 11-Jun-19,5
HN,8,13-Jun-19,9,HN - 8,50%,High,HN - 13-Jun-19,7
HN,8,15-Jul-19,0,HN - 8,50%,High,HN - 15-Jul-19,33
HN,8,15-Jun-19,4,HN - 8,50%,High,HN - 15-Jun-19,9
HN,8,20-Jul-19,7,HN - 8,50%,High,HN - 20-Jul-19,37
HN,8,20-Jun-19,7,HN - 8,50%,High,HN - 20-Jun-19,11
HN,8,25-Jul-19,0,HN - 8,50%,High,HN - 25-Jul-19,43
HN,8,25-Jun-19,0,HN - 8,50%,High,HN - 25-Jun-19,13
HN,8,28-Jul-19,1,HN - 8,50%,High,HN - 28-Jul-19,48
HN,8,28-Jun-19,5,HN - 8,50%,High,HN - 28-Jun-19,18
HN,9,02-Jul-19,0,HN - 9,control,High,HN - 02-Jul-19,23
